file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.html,29,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,2,18
index.html,30,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,0,0
index.html,31,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,2,9
index.html,32,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,0,0
index.html,33,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,2,29
index.html,34,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,2,0
index.html,35,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,3,66
index.html,36,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,3,25
index.html,37,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,3,7
index.html,38,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,2,0
index.html,39,html,31772afa,Neil Dandekar,2025-01-25,15:42:41,-08:00,2025-01-25T15:42:41-08:00,2,43
index.html,40,html,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,0,0
index.html,41,html,fbb3fa71,Neil Dandekar,2025-02-01,23:12:25,-08:00,2025-02-01T23:12:25-08:00,2,17
index.html,42,html,fbb3fa71,Neil Dandekar,2025-02-01,23:12:25,-08:00,2025-02-01T23:12:25-08:00,2,26
index.html,43,html,fbb3fa71,Neil Dandekar,2025-02-01,23:12:25,-08:00,2025-02-01T23:12:25-08:00,0,0
index.html,44,html,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,20
index.html,45,html,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,24
index.html,46,html,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,0,0
index.html,47,html,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,42
index.html,48,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,1,3
index.html,49,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,0,3
global.js,1,js,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,23
global.js,2,js,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
global.js,3,js,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,39
global.js,4,js,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,50
global.js,5,js,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
global.js,6,js,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
global.js,7,js,9ed7b751,Neil Dandekar,2025-01-25,15:48:58,-08:00,2025-01-25T15:48:58-08:00,0,23
global.js,8,js,a6600717,Neil Dandekar,2025-01-25,15:54:46,-08:00,2025-01-25T15:54:46-08:00,0,0
global.js,9,js,9ed7b751,Neil Dandekar,2025-01-25,15:48:58,-08:00,2025-01-25T15:48:58-08:00,0,41
global.js,10,js,a6600717,Neil Dandekar,2025-01-25,15:54:46,-08:00,2025-01-25T15:54:46-08:00,0,9
global.js,11,js,9ed7b751,Neil Dandekar,2025-01-25,15:48:58,-08:00,2025-01-25T15:48:58-08:00,1,39
global.js,12,js,a6600717,Neil Dandekar,2025-01-25,15:54:46,-08:00,2025-01-25T15:54:46-08:00,1,37
global.js,13,js,a6600717,Neil Dandekar,2025-01-25,15:54:46,-08:00,2025-01-25T15:54:46-08:00,0,0
global.js,14,js,a6600717,Neil Dandekar,2025-01-25,15:54:46,-08:00,2025-01-25T15:54:46-08:00,0,40
global.js,15,js,9ed7b751,Neil Dandekar,2025-01-25,15:48:58,-08:00,2025-01-25T15:48:58-08:00,0,0
global.js,16,js,9ed7b751,Neil Dandekar,2025-01-25,15:48:58,-08:00,2025-01-25T15:48:58-08:00,0,47
